service_url,verified,service_id,account,details_url,agencies/0/agency_id,agencies/0/agency_name,agencies/0/agency_url,organization,agencies/1/agency_id,agencies/1/agency_name,agencies/1/agency_url,agencies/2/agency_id,agencies/2/agency_name,agencies/2/agency_url
http://facebook.com/108375985869324,true,facebook,108375985869324,http://registry.usa.gov/accounts/facebook/108375985869324,hhs,Department of Health and Human Services (HHS),http://www.hhs.gov,Eunice Kennedy Shriver National Institute of Child Health and Human Development,,,,,,
http://facebook.com/108981709134387,true,facebook,108981709134387,http://registry.usa.gov/accounts/facebook/108981709134387,state,Department of State,http://www.state.gov,Ambassade des Etats Unis au Senegal,,,,,,
http://facebook.com/109785199631,true,facebook,109785199631,http://registry.usa.gov/accounts/facebook/109785199631,state,Department of State,http://www.state.gov,American Corner - Podgorica,,,,,,
http://facebook.com/111231325622334,true,facebook,111231325622334,http://registry.usa.gov/accounts/facebook/111231325622334,ise,Information Sharing Environment (ISE),http://www.ise.gov,Information Sharing Environment,,,,,,
http://facebook.com/112371322116459,true,facebook,112371322116459,http://registry.usa.gov/accounts/facebook/112371322116459,state,Department of State,http://www.state.gov,American Corner - Bhairahawa,,,,,,
http://facebook.com/112393122111844,true,facebook,112393122111844,http://registry.usa.gov/accounts/facebook/112393122111844,gsa,General Services Administration (GSA),http://www.gsa.gov,Office of Real Property Utilization & Disposal,,,,,,
http://facebook.com/112998395413629,true,facebook,112998395413629,http://registry.usa.gov/accounts/facebook/112998395413629,nasa,National Aeronautics and Space Administration (NASA),http://www.nasa.gov,,,,,,,
http://facebook.com/115288678657619,true,facebook,115288678657619,http://registry.usa.gov/accounts/facebook/115288678657619,defense,Department of Defense (DOD),http://www.defense.gov,"U.S. Army Corps of Engineers, New England District (Barre Falls Dam)",army,Department of the Army,http://www.army.mil/,,,
http://facebook.com/116047138409027,true,facebook,116047138409027,http://registry.usa.gov/accounts/facebook/116047138409027,state,Department of State,http://www.state.gov,American Corner - Dnipropetrovsk,,,,,,
http://facebook.com/116414408392302,true,facebook,116414408392302,http://registry.usa.gov/accounts/facebook/116414408392302,ed,Department of Education (ED),http://www.ed.gov,Asian Americans Initiative,,,,,,
http://facebook.com/116820385017747,true,facebook,116820385017747,http://registry.usa.gov/accounts/facebook/116820385017747,ed,Department of Education (ED),http://www.ed.gov,Educational Excellence for Hispanic Americans,,,,,,
http://facebook.com/119190564848999,true,facebook,119190564848999,http://registry.usa.gov/accounts/facebook/119190564848999,state,Department of State,http://www.state.gov,U.S. Mission to the United Nations,,,,,,
http://facebook.com/119567064877339,true,facebook,119567064877339,http://registry.usa.gov/accounts/facebook/119567064877339,defense,Department of Defense (DOD),http://www.defense.gov,"U.S. Army Corps of Engineers, New England District (Edward MacDowell Lake)",army,Department of the Army,http://www.army.mil/,,,
http://facebook.com/119869762156,true,facebook,119869762156,http://registry.usa.gov/accounts/facebook/119869762156,state,Department of State,http://www.state.gov,U.S. Embassy Macedonia,,,,,,
http://facebook.com/120017794842435,true,facebook,120017794842435,http://registry.usa.gov/accounts/facebook/120017794842435,doi,Department of the Interior (DOI),http://www.doi.gov,U.S. Geological Survey,,,,,,
http://facebook.com/121384077911109,true,facebook,121384077911109,http://registry.usa.gov/accounts/facebook/121384077911109,state,Department of State,http://www.state.gov,U.S. Mission - Uganda,,,,,,
http://facebook.com/125275167524338,true,facebook,125275167524338,http://registry.usa.gov/accounts/facebook/125275167524338,nasa,National Aeronautics and Space Administration (NASA),http://www.nasa.gov,,,,,,,
http://facebook.com/128258946827,true,facebook,128258946827,http://registry.usa.gov/accounts/facebook/128258946827,defense,Department of Defense (DOD),http://www.defense.gov,Defense Security Cooperation Agency,,,,,,
http://facebook.com/129thOdCoeod,true,facebook,129thOdCoeod,http://registry.usa.gov/accounts/facebook/129thOdCoeod,army,Department of the Army,http://www.army.mil/,129th EOD Co,,,,,,
http://facebook.com/131588424007,true,facebook,131588424007,http://registry.usa.gov/accounts/facebook/131588424007,ed,Department of Education (ED),http://www.ed.gov,Presidential Scholars Program,,,,,,
http://facebook.com/132ndFighterWingDesMoinesIowa,true,facebook,132ndFighterWingDesMoinesIowa,http://registry.usa.gov/accounts/facebook/132ndFighterWingDesMoinesIowa,airforce,Department of the Air Force,http://www.af.mil/,132nd Fighter Wing,,,,,,
http://facebook.com/133468870046835,true,facebook,133468870046835,http://registry.usa.gov/accounts/facebook/133468870046835,nasa,National Aeronautics and Space Administration (NASA),http://www.nasa.gov,NASA,,,,,,
http://facebook.com/134512156591701,true,facebook,134512156591701,http://registry.usa.gov/accounts/facebook/134512156591701,nasa,National Aeronautics and Space Administration (NASA),http://www.nasa.gov,,,,,,,
http://facebook.com/134677786611174,true,facebook,134677786611174,http://registry.usa.gov/accounts/facebook/134677786611174,archives,National Archives and Records Administration (NARA),http://www.archives.gov,National Archives at Anchorage,,,,,,
http://facebook.com/136786839692361,true,facebook,136786839692361,http://registry.usa.gov/accounts/facebook/136786839692361,ed,Department of Education (ED),http://www.ed.gov,ED Youth Voices,,,,,,
http://facebook.com/136880189673357,true,facebook,136880189673357,http://registry.usa.gov/accounts/facebook/136880189673357,defense,Department of Defense (DOD),http://www.defense.gov,Defense Commissary Agency,,,,,,
http://facebook.com/138188309679151,true,facebook,138188309679151,http://registry.usa.gov/accounts/facebook/138188309679151,doi,Department of the Interior (DOI),http://www.doi.gov,U.S. Geological Survey,,,,,,
http://facebook.com/138192989537134,true,facebook,138192989537134,http://registry.usa.gov/accounts/facebook/138192989537134,hhs,Department of Health and Human Services (HHS),http://www.hhs.gov,U.S. Public Health Service Nurses,,,,,,
http://facebook.com/138415206219210,true,facebook,138415206219210,http://registry.usa.gov/accounts/facebook/138415206219210,state,Department of State,http://www.state.gov,InfoUSA - Banska Bystrica,,,,,,
http://facebook.com/1392901317615113,true,facebook,1392901317615113,http://registry.usa.gov/accounts/facebook/1392901317615113,nsf,National Science Foundation (NSF),http://www.nsf.gov,Division of Polar Programs - National Science Foundation,,,,,,
http://facebook.com/139943828917,true,facebook,139943828917,http://registry.usa.gov/accounts/facebook/139943828917,epa,Environmental Protection Agency (EPA),http://www.epa.gov,U.S. EPA Region 6 Science Council,,,,,,
http://facebook.com/140095222235,true,facebook,140095222235,http://registry.usa.gov/accounts/facebook/140095222235,state,Department of State,http://www.state.gov,U.S. Embassy - Georgetown (Consular Section),,,,,,
http://facebook.com/141271449648,true,facebook,141271449648,http://registry.usa.gov/accounts/facebook/141271449648,state,Department of State,http://www.state.gov,American Corner - Yerevan,,,,,,
http://facebook.com/1422786821271643,true,facebook,1422786821271643,http://registry.usa.gov/accounts/facebook/1422786821271643,doi,Department of the Interior (DOI),http://www.doi.gov,DOI OST,,,,,,
http://facebook.com/1431984283714112,true,facebook,1431984283714112,http://registry.usa.gov/accounts/facebook/1431984283714112,usda,Department of Agriculture (USDA),http://www.usda.gov,U.S. Forest Service,,,,,,
http://facebook.com/143560048536,true,facebook,143560048536,http://registry.usa.gov/accounts/facebook/143560048536,state,Department of State,http://www.state.gov,U.S. Embassy Jamaica,,,,,,
http://facebook.com/144563897770,true,facebook,144563897770,http://registry.usa.gov/accounts/facebook/144563897770,hhs,Department of Health and Human Services (HHS),http://www.hhs.gov,NIH/NHLBI Children and Clinical Studies Facebook page,,,,,,
http://facebook.com/145362578980763,true,facebook,145362578980763,http://registry.usa.gov/accounts/facebook/145362578980763,doi,Department of the Interior (DOI),http://www.doi.gov,DOI OST,,,,,,
http://facebook.com/145424508823830,true,facebook,145424508823830,http://registry.usa.gov/accounts/facebook/145424508823830,state,Department of State,http://www.state.gov,"Ambassade des Etats-Unis Conakry, Guinee",,,,,,
http://facebook.com/146218063693,true,facebook,146218063693,http://registry.usa.gov/accounts/facebook/146218063693,state,Department of State,http://www.state.gov,U.S. Embassy - Nairobi,,,,,,
http://facebook.com/147467418636156,true,facebook,147467418636156,http://registry.usa.gov/accounts/facebook/147467418636156,state,Department of State,http://www.state.gov,U.S. Embassy - Ouagadougou,,,,,,
http://facebook.com/147599291963527,true,facebook,147599291963527,http://registry.usa.gov/accounts/facebook/147599291963527,state,Department of State,http://www.state.gov,U.S. Embassy The Hague,,,,,,
http://facebook.com/149210335803,true,facebook,149210335803,http://registry.usa.gov/accounts/facebook/149210335803,state,Department of State,http://www.state.gov,U.S. Embassy - Qatar,,,,,,
http://facebook.com/149805621712023,true,facebook,149805621712023,http://registry.usa.gov/accounts/facebook/149805621712023,interior,Department of the Interior (DOI),http://www.doi.gov,USFWS Federal Duck Stamp Office,,,,,,
http://facebook.com/149FW,true,facebook,149FW,http://registry.usa.gov/accounts/facebook/149FW,nationalguard,National Guard Bureau,http://www.nationalguard.mil/,"149th Fighter Wing, TXANG",,,,,,
http://facebook.com/151372664878320,true,facebook,151372664878320,http://registry.usa.gov/accounts/facebook/151372664878320,state,Department of State,http://www.state.gov,U.S. Mission to the OSCE,,,,,,
http://facebook.com/154478180006,true,facebook,154478180006,http://registry.usa.gov/accounts/facebook/154478180006,nasa,National Aeronautics and Space Administration (NASA),http://www.nasa.gov,,,,,,,
